file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00071_05081.800-05082.350,ག་རེ་ཡིན་གོ་ ,ga re yin go _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00071_05081.800-05082.350.wav,STT_TT,3,13,0.5500000000001819,wav16k/STT_TT00071_05081.800-05082.350.wav,ག་རེ་ཡིན་གོ
STT_CS-D-2016-P-D-B01-2-R-01_0049_345532_to_352510,རེད་ད་རཱ། བུ་དང་བུ་མོ་ཨ་ནས་བུ་གཅིག་ཐུག་རེད་དཱ། ཨ་ནས་རཱ། ཨ་ནས་ཁོང་ཚོ་བུ་མོ་དེ་ཕར་ཕྱོགས་འགྲོ་རཱ། བུ་དེ་ཕར་ཕྱོགས་འགྲོ་རེད།  ,red da rA/_bu dang bu mo a nas bu gcig thug red dA/_a nas rA/_a nas khong tsho bu mo de phar phyogs 'gro rA/_bu de phar phyogs 'gro red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0049_345532_to_352510.wav,STT_CS,3,121,6.978,wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0049_345532_to_352510.wav,རཱ། བུ་དང་བུ་མོ་ཨ་ནས་བུ་གཅིག་འགྲོ་རེད་ད། ཨ་ནས་རཱ། ཨ་ནས་ཁོང་ཚོ་བུ་མོ་དེ་ཕར་ཕྱོགས་འགྲོ་རེད། བུ་དེ་ཕར་ཕྱོགས་འགྲོ།
STT_CS-D-2016-P-D-B01-2-R-01_0052_372490_to_377333,ཁོ་ཧ་ཧ་ཧ་ལབ་རེད་དཱ། ཨ་ནས་ཧ་ཧ་ལབ་རེད་དཱ། ཨ་ནས་ཁོ།  ,kho ha ha ha lab red dA/_a nas ha ha lab red dA/_a nas kho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0052_372490_to_377333.wav,STT_CS,3,50,4.843,wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0052_372490_to_377333.wav,ཧ་ཧ་ཧ་་ལབ་རེད་ད། ཨེ་ནས་ཧ་ཧ་ལབ་རེད་ད། ཨ་ནས་ཁོ།
STT_CS-D-2016-P-D-B01-2-R-01_0053_377721_to_385695,གང་འདྲས་བྱས་ཡིན་ལབ་རེད་དཱ། གང་འདྲས་བྱས་ཡིན་ལབ་རེད་ད་རཱ། ཨ་ནས་རཱ། ཁོ་འགྲོ་བསྡད་རེད་དཱ། ཨ་ནས་ཁོ་སྒྲུང་དེབ་ཀློག་བསྡད་རེད་དཱ། ཨ་ནས།  ,gang 'dras byas yin lab red dA/_gang 'dras byas yin lab red da rA/_a nas rA/_kho 'gro bsdad red dA/_a nas kho sgrung deb klog bsdad red dA/_a nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0053_377721_to_385695.wav,STT_CS,3,129,7.974,wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0053_377721_to_385695.wav,ག་འདྲའི་བྱསད་ཡིན་ལབ་རེད་ད། ག་འདྲ་བྱེ་ཡིན་ལབ་རེད་ད་རཱ། ཨ་ནས་རཱ། ཁོ་འགྲོ་བསྡད་རེད་ད། ཨ་ནས་ཁོ་སྒྲུང་དེབ་ཀློག་བསྡད་རེད་ད། ཨ་ནས།
STT_CS-D-2016-P-D-B01-2-R-01_0054_385695_to_393668,ཁོ་འགྲོ། ཁོ་ཕར་ཕྱོགས་བསྡད་བསྡད་རེད་དཱ། ཨ་ནས། ཨ་ནས་ཚུར་ཕྱོགས་དེ་ཡོད་པ་བཙོང་རེད་ད་རཱ།  ,kho 'gro/_kho phar phyogs bsdad bsdad red dA/_a nas/_a nas tshur phyogs de yod pa btsong red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0054_385695_to_393668.wav,STT_CS,3,85,7.973,wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0054_385695_to_393668.wav,ཁོ་འགྲོ། ཁོ་ཕར་ཕྱོགས་བསྡད་བསྡད་རེད་ད ཨ་ནས། ཨ་ནས་ྲུ་ཚག་ད་བ་བཙོག་རེད་ད་རཱ།
STT_CS-D-2016-P-D-B01-2-R-01_0055_393769_to_399068,ཨ་ནས་རཱ། ཁོ་ལ་གཅིག་སྤྲད་རེད་དཱ། ཨ་ནས། ཁོས་ཁོ་ལ།  ,a nas rA/_kho la gcig sprad red dA/_a nas/_khos kho la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0055_393769_to_399068.wav,STT_CS,3,49,5.299,wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0055_393769_to_399068.wav,ཨ་ནས་རཱ། ཁོ་ར་གཅིག་སྤྲད་རེད་དཱ། ཨ་ནས་ ཁོ་ཡིས་ཁོ་ལ་
STT_CS-D-2016-P-D-B01-2-R-01_0056_399152_to_405008,མར་བསྡད་ལབ་རེད་དཱ། ཨ་ནས་ཁོས་ཁོང་ཚོས་བསྡད་ལབ་རཱ། འགྲོ་བསྡད་འདུག་དཱ། ཨ་ནས་ཁོང་ཚོས་བསྡད་རེད་དཱ།  ,mar bsdad lab red dA/_a nas khos khong tshos bsdad lab rA/_'gro bsdad 'dug dA/_a nas khong tshos bsdad red dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0056_399152_to_405008.wav,STT_CS,3,94,5.856,wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0056_399152_to_405008.wav,མར་བསྡད་ལབ་རེད་དཱ། ཨ་ནས་ཁོ་ཡིས། ཁོང་ཚོཉིས་བསྡད་བསྡད་རཱེ། འགྲོ་བསྡད་རེད་ད། ཨ་ནས་ཁོང་ཚོ་བསྡད་རེད་དཱ།
STT_CS-D-2016-P-D-B01-2-R-01_0057_405278_to_408535,ཨ་ནས་རཱ།  ,a nas rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0057_405278_to_408535.wav,STT_CS,3,10,3.257,wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0057_405278_to_408535.wav,ཨ་ནས་རཱ།
STT_CS-D-2016-P-D-B01-2-R-01_0058_408889_to_414981,ཨ་ནས་བསླེབས་རེད་ད་རཱ། ཨ་ནས་ཁོང་ཚོ།  ,a nas bslebs red da rA/_a nas khong tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0058_408889_to_414981.wav,STT_CS,3,36,6.092,wav16k/STT_CS-D-2016-P-D-B01-2-R-01_0058_408889_to_414981.wav,ཨ་ནས་སླེབས་རེད་ད་རཱ། ཨ་ནས་ཁོང་ཚོ།
STT_TT00071_05083.500-05088.600,ཞིང་པའི་བུ་མོ་ལེགས་སྐྱེས་མས་འོ། འོ་མ་ཕུལ་ཡོད་རེད་ཟེ། ད་དེ། འོ་མ་ཕུལ་ཡོད་རེད་ཟེ་ལབ། ཞོ་ཕུལ་ཡོད་རེད་ཟེ་ལབ། ད་གང་ལྟ་ ,zhing pa'i bu mo legs skyes mas 'o/_'o ma phul yod red ze/_da de/_'o ma phul yod red ze lab/_zho phul yod red ze lab/_da gang lta _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00071_05083.500-05088.600.wav,STT_TT,3,114,5.100000000000364,wav16k/STT_TT00071_05083.500-05088.600.wav,ཞིང་པའི་ཕུ་མོ་ལེགས་སྐྱེས་མས་འོ། འོ་མ་ཕུལ་རེད་ཟེ།་དེ། འོ་མ་ཕུལ་ཡོད་རེད་ཟེ་ལབ། ཞོ་ཕུལ་ཡོད་རེད་ཟེ་ལབ། ད་གང་ལྟར་
